Product, Price, Link
Fresh Bananas | approx 180g,$0.63,/product/fresh-bananas-approx.-180g-each-409499
Coles Shepard Avocados | 1 each,$2.50,/product/coles-shepard-avocados-1-each-5900891
Fresh Strawberries Prepacked | 250g,$3.90,/product/fresh-strawberries-prepacked-250g-5191256
Coles Continental Cucumbers Loose | 1 each,$1.90,/product/coles-continental-cucumbers-loose-1-each-4575605
Coles Carrots Prepacked 1Kg | 1 each,$1.00,/product/coles-carrots-prepacked-1kg-1-each-9006560
Coles Raspberries | 125g,$4.00,/product/coles-raspberries-125g-134029
Coles White Seedless Grapes Loose | approx 800g,$3.84,/product/coles-white-seedless-grapes-loose-approx.-800g-6706395
Coles Broccoli | approx 340g,$1.53,/product/coles-broccoli-approx.-340g-each-407755
Coles Greenhouse Truss Tomatoes | approx 140g,$0.97,/product/coles-greenhouse-truss-tomatoes-approx.-140g-each-4628676
Coles Blackberries Prepacked | 125g,$3.50,/product/coles-blackberries-prepacked-125g-134040
Coles Blueberries Prepacked | 125g,$4.50,/product/coles-blueberries-prepacked-125g-5543535
Coles Red Capsicum | approx 200g,$1.78,/product/coles-red-capsicum-approx.-200g-each-4580208
Coles Field Tomatoes Loose | approx 110g,$0.49,/product/coles-field-tomatoes-loose-approx.-110g-each-4597109
Coles Green Zucchini | approx 260g,$1.17,/product/coles-green-zucchini-approx.-260g-each-4910506
Coles Seedless Watermelon Cut | approx1.99 kg,$4.97,/product/coles-seedless-watermelon-cut-approx-1.99-kg-each-7508229
Coles Baby Cos Lettuce | 2 pack,$3.50,/product/coles-baby-cos-lettuce-2-pack-4646485
Coles Royal Gala Apples Loose | approx 160g,$0.78,/product/coles-royal-gala-apples-loose-approx.-160g-each-5226000
Coles Sweet Corn | 1 each,$1.20,/product/coles-sweet-corn-1-each-4562603
Fresh Brown Onions Loose | approx 180g,$0.70,/product/fresh-brown-onions-loose-approx.-180g-each-4239517
Coles Red Seedless Grapes | approx 800g,$4.80,/product/coles-red-seedless-grapes-approx.-800g-6706191
Coles Sweet Gold Potatoes Loose | approx 350g,$1.72,/product/coles-sweet-gold-potatoes-loose-approx.-350g-each-4199503
Coles Iceberg Lettuce | 1 each,$3.20,/product/coles-iceberg-lettuce-1-each-4584071
Coles Yellow Nectarines | approx 150g,$0.68,/product/coles-yellow-nectarines-approx.-150g-409808
Coles Grape Perino Tomatoes Prepacked | 200g,$4.90,/product/coles-grape-perino-tomatoes-prepacked-200g-7265535
Coles Spring Onions | 1 bunch,$2.80,/product/coles-spring-onions-1-bunch-408419
Coles White Nectarines | approx 150g,$0.68,/product/coles-white-nectarines-approx.-150g-5595663
Coles Lebanese Cucumbers | approx 210g,$1.24,/product/coles-lebanese-cucumbers-approx.-210g-4575208
Fresh Medium Navel Oranges | approx 180g,$1.24,/product/fresh-medium-navel-oranges-approx.-180g-each-4255717
Coles Brown Onions | 1kg,$3.50,/product/coles-brown-onions-1kg-4803991
Coles Red Onions Loose | approx 200g,$0.90,/product/coles-red-onions-loose-approx.-200g-each-4218459
Coles Fresh Loose Cup Mushrooms | approx 200g,$2.58,/product/coles-fresh-loose-cup-mushrooms-approx.-200g-4594010
Coles Pink Lady Apples | approx 200g,$1.30,/product/coles-pink-lady-apples-approx.-200g-each-5111654
Coles Baby Cucumbers | 250g,$3.00,/product/coles-baby-cucumbers-250g-4578148
Coles Carrots Loose | approx 170g,$0.42,/product/coles-carrots-loose-approx.-170g-each-4223335
Coles Keitt Mangoes | 1 each,$2.90,/product/coles-keitt-mangoes-1-each-4526847
Coles Creme Gold Washed Potatoes Loose | approx140g,$0.63,/product/coles-creme-gold-washed-potatoes-loose-approx-140g-each-1182162
Coles Green Beans loose | approx 200g,$1.18,/product/coles-green-beans-loose-approx.-200g-407675
Coles Green Capsicum Loose | approx 250g,$1.48,/product/coles-green-capsicum-loose-approx.-250g-each-7214862
Coles Baby Broccoli | 1 each,$2.90,/product/coles-baby-broccoli-1-each-5982477
Coles Kids Pack Bananas | 750g,$3.50,/product/coles-kids-pack-bananas-750g-2511791
Coles Red Onion 1 Kg | 1kg,$3.90,/product/coles-red-onion-1-kg-1kg-8467604
Coles Cherry Tomatoes Prepacked | 250g,$2.50,/product/coles-cherry-tomatoes-prepacked-250g-4834736
Coles Yellow Peaches | approx 150g,$0.73,/product/coles-yellow-peaches-approx.-150g-156713
Coles Lettuce Spinach | 120g,$3.00,/product/coles-lettuce-spinach-120g-1499340
Coles Rockmelon Whole | 1 each,$3.90,/product/coles-rockmelon-whole-1-each-428915
Coles Green Beans Prepacked | 500g,$4.50,/product/coles-green-beans-prepacked-500g-3214270
Coles Baby Spinach | 60g,$2.00,/product/coles-baby-spinach-60g-1499486
Coles Kent Pumpkin Cut | approx 900g,$2.25,/product/coles-kent-pumpkin-cut-approx.-900g-each-4202540
Coles White Peaches | approx 150g,$0.73,/product/coles-white-peaches-approx.-150g-4552326
Coles Black Plums | approx 130g,$0.77,/product/coles-black-plums-approx.-130g-each-5424026
Coles Royal Gala Apples 1Kg | 1 each,$4.90,/product/coles-royal-gala-apples-1kg-1-each-4433462
Fresh Granny Smith Medium Apples | approx 170g,$0.83,/product/fresh-granny-smith-medium-apples-approx.-170g-each-408554
Coles Grape Mini Roma Tomatoes | 250g,$3.00,/product/coles-grape-mini-roma-tomatoes-250g-7941197
Coles William Bartlett Pears | approx 200g,$0.70,/product/coles-william-bartlett-pears-approx.-200g-each-409998
Coles Wrapped Butternut Pumpkin | approx 700g,$2.80,/product/coles-wrapped-butternut-pumpkin-approx.-700g-each-4190600
Coles Cauliflower Medium | 1 each,$4.50,/product/coles-cauliflower-medium-1-each-4601603
Coles 4 Leaf Salad Mix | 200g,$3.00,/product/coles-4-leaf-salad-mix-200g-8209722
Coles Baby Carrots Prepacked | 500g,$1.80,/product/coles-baby-carrots-prepacked-500g-4236122
Coles Creme Royale Brushed Potatoes loose | approx 200g,$0.70,/product/coles-creme-royale-brushed-potatoes-loose-approx.-200g-each-1022610
Coles Garlic loose | approx 60g,$1.74,/product/coles-garlic-loose-approx.-60g-each-6105715
Coles Black Grapes | approx 800g,$3.90,/product/coles-black-grapes-approx.-800g-6706282
Coles Green Asparagus | 1 each,$3.00,/product/coles-green-asparagus-1-each-4838737
Coles Celery | 1 bunch,$3.50,/product/coles-celery-1-bunch-4845732
Coles Sliced Mushrooms | 200g,$3.80,/product/coles-sliced-mushrooms-200g-5750960
Coles Ginger loose | approx 120g,$4.20,/product/coles-ginger-loose-approx.-120g-5034484
Coles Red Royale Potatoes Loose | approx 170g,$0.77,/product/coles-red-royale-potatoes-loose-approx.-170g-each-1181308
Fresh Purple Eggplant | approx 500g,$3.75,/product/fresh-purple-eggplant-approx.-500g-4583206
Coles Cup Mushrooms | 500g,$6.00,/product/coles-cup-mushrooms-500g-4829838
Coles Asian Choy Pak | 1 each,$2.50,/product/coles-asian-choy-pak-1-each-4567039
Wonder White Bread Wholemeal Plus Iron | 700g,$3.90,/product/wonder-white-bread-wholemeal-plus-iron-700g-5322140
Genius Gluten Free Soft Brioche Rolls | 2 pack,$4.00,/product/genius-gluten-free-soft-brioche-rolls-2-pack-3237582
Genius Gluten Free Farmhouse Soft Brown Bread Loaf | 535g,$6.90,/product/genius-gluten-free-farmhouse-soft-brown-bread-loaf-535g-3293572
Genius Gluten Free Triple Seeded Soft Rolls | 2 pack,$4.00,/product/genius-gluten-free-triple-seeded-soft-rolls-2-pack-3237560
Noshu 95% Sugar Free Iced Carrot Cakes | 180g,$7.00,/product/noshu-95percent-sugar-free-iced-carrot-cakes-180g-4215337
Noshu 97% Sugar Free Iced Funtella Cakes | 180g,$7.00,/product/noshu-97percent-sugar-free-iced-funtella-cakes-180g-4214243
Toscano Traditional Butter Waffles 4 pack | 360g,$7.00,/product/toscano-traditional-butter-waffles-4-pack-360g-8995056
Toscano Chocolate Crepes | 192g,$6.00,/product/toscano-chocolate-crepes-192g-2902427
Toscano Choco Chip Waffles 4 pack | 360g,$7.00,/product/toscano-choco-chip-waffles-4-pack-360g-8995067
Toscano Mini Waffles | 200g,$5.00,/product/toscano-mini-waffles-200g-4986213
Coles Bakery Flatbread White | 6 pack,$4.00,/product/coles-bakery-flatbread-white-6-pack-3259687
Coles Bakery Pancakes | 5 pack,$4.00,/product/coles-bakery-pancakes-5-pack-5626122
Coles Hot Cross Buns Traditional Fruit | 6 pack,$4.00,/product/coles-hot-cross-buns-traditional-fruit-6-pack-8368511
Coles White Bread | 650g,$1.90,/product/coles-white-bread-650g-4901345
Wonder White Bread + Vitamins & Mineral | 700g,$3.90,/product/wonder-white-bread-+-vitamins-and-mineral-700g-5795130
Coles Bakery Flatbread Wholemeal | 6 pack,$4.00,/product/coles-bakery-flatbread-wholemeal-6-pack-3259701
Coles Bakery Super Soft Round Rolls | 6 pack,$2.50,/product/coles-bakery-super-soft-round-rolls-6-pack-4344715
Tip Top The One White Sandwich Bread | 700g,$3.90,/product/tip-top-the-one-white-sandwich-bread-700g-8956156
Tip Top The One White Toast Bread | 700g,$3.90,/product/tip-top-the-one-white-toast-bread-700g-8956189
Coles Soft Wholemeal Sandwich Loaf | 650g,$2.20,/product/coles-soft-wholemeal-sandwich-loaf-650g-3378290
Coles Hot Cross Buns Chocolate | 6 pack,$4.00,/product/coles-hot-cross-buns-chocolate-6-pack-4882003
Coles Bakery Croissants 3 Pack | 189g,$2.85,/product/coles-bakery-croissants-3-pack-189g-7266287
Coles Hot Cross Buns Apple And Cinnamon | 6 pack,$4.00,/product/coles-hot-cross-buns-apple-and-cinnamon-6-pack-2132192
