index,price
0,4.51
1,2.67
2,6.66
3,2.66
4,4.04
5,6.4
6,4.87
7,3.68
8,3.15
9,3.65
10,4.34
11,3.25
12,6.52
13,3.87
14,3.32
15,6.65
16,6.61
17,5.74
18,4.76
19,5.86
20,6.71
21,2.71
22,6.4
23,6.97
24,3.85
25,6.77
26,6.21
27,4.64
28,6.51
29,2.68
30,3.52
31,3.24
32,5.52
33,4.73
34,4.49
35,3.61
36,2.94
37,6.79
38,3.32
39,3.37
40,4.51
41,6.32
42,5.64
43,5.52
44,4.41
45,2.14
46,6.67
47,2.0
48,4.47
49,3.58
50,2.2
51,6.11
52,4.72
53,4.74
54,2.63
55,5.04
56,6.18
57,5.83
58,3.47
59,5.06
60,3.46
61,4.73
62,5.99
63,5.89
64,2.23
65,5.72
66,5.23
67,6.18
68,2.94
69,5.67
70,4.31
71,5.99
72,6.89
73,3.07
74,3.84
75,5.23
76,4.74
77,2.84
78,5.8
79,6.69
80,6.06
81,5.96
82,4.6
83,4.05
84,2.51
85,4.63
86,2.15
87,5.15
88,2.78
89,2.31
90,5.76
91,5.7
92,2.51
93,3.62
94,6.77
95,3.19
96,4.72
97,2.34
98,2.58
99,4.37
100,2.64
101,5.37
102,4.62
103,3.0
104,3.37
105,6.37
106,6.19
107,6.46
108,5.01
109,6.84
110,7.0
111,4.23
112,2.28
113,6.51
114,3.17
115,3.87
116,4.59
117,5.23
118,6.74
119,3.01
120,3.99
121,4.82
122,2.81
123,5.7
124,5.33
125,6.79
126,3.41
127,2.46
128,6.42
129,2.15
130,6.14
131,5.1
132,5.89
133,6.18
134,3.51
135,3.32
136,2.12
137,6.57
138,6.08
139,6.88
140,5.47
141,6.9
142,4.43
143,4.35
144,6.38
145,2.67
146,2.04
147,4.46
148,2.92
149,4.48
150,4.19
151,5.55
152,5.69
153,2.95
154,6.31
155,5.68
156,2.16
157,3.58
158,3.3
159,3.26
160,4.15
161,2.64
162,5.57
163,6.01
164,6.61
165,4.43
166,3.23
167,3.15
168,5.01
169,2.5
170,5.64
171,3.77
172,5.76
173,5.96
174,6.25
175,3.67
176,6.32
177,5.76
178,2.28
179,4.31
180,2.49
181,2.66
182,4.92
183,6.25
184,5.32
185,5.99
186,4.32
187,3.39
188,2.11
189,4.38
190,2.08
191,2.97
192,3.16
193,6.07
194,6.27
195,6.38
196,4.95
197,3.26
198,3.24
199,6.06
200,5.75
201,4.32
202,5.93
203,4.9
204,3.1
205,4.06
206,3.84
207,6.02
208,2.31
209,2.57
210,2.95
211,2.42
212,2.33
213,2.99
214,4.31
215,6.0
216,4.14
217,3.83
218,5.56
219,4.5
220,5.02
221,3.47
222,4.0
223,5.87
224,2.34
225,3.85
226,5.73
227,3.86
228,2.47
229,5.36
230,3.85
231,6.75
232,6.6
233,3.13
234,4.1
235,2.18
236,6.56
237,2.21
238,6.37
239,3.42
240,4.92
241,4.98
242,6.81
243,3.22
244,5.67
245,6.48
246,3.22
247,2.03
248,3.96
249,2.43
250,4.5
251,3.22
252,5.57
253,4.76
254,5.82
255,4.19
256,3.22
257,2.64
258,4.57
259,4.87
260,4.62
261,4.51
262,4.76
263,4.97
264,3.45
265,3.04
266,4.01
267,6.51
268,5.0
269,5.94
270,6.83
271,6.52
272,5.02
273,5.37
274,5.26
275,3.12
276,2.89
277,5.58
278,2.28
279,4.24
280,4.36
281,2.47
282,6.32
283,6.32
284,3.39
285,4.8
286,3.55
287,6.4
288,4.99
289,2.65
290,3.41
291,3.2
292,5.41
293,5.48
294,2.56
295,5.08
296,2.21
297,5.45
298,3.45
299,4.27
300,6.59
301,2.34
302,6.68
303,6.62
304,4.82
305,3.24
306,3.2
307,3.98
308,5.3
309,6.44
310,2.75
311,2.79
312,6.95
313,4.0
314,4.14
315,3.94
316,5.4
317,4.0
318,3.1
319,4.94
320,4.33
321,2.16
322,4.45
323,5.25
324,6.17
325,3.01
326,3.41
327,5.57
328,6.48
329,5.54
330,3.32
331,2.0
332,5.7
333,3.53
334,6.59
335,4.18
336,5.98
337,4.88
338,3.0
339,5.21
340,4.9
341,3.4
342,3.63
343,5.48
344,2.44
345,5.93
346,2.3
347,4.24
348,6.64
349,6.19
350,4.25
351,6.23
352,6.6
353,5.65
354,3.34
355,5.92
356,4.68
357,2.71
358,2.8
359,4.0
360,4.64
361,4.81
362,3.56
363,4.33
364,3.27
