Item_name,
Fresh Bananas | approx 180g
Coles Hass Avocados | 1 each
Fresh Strawberries Prepacked | 250g
Coles Blueberries Prepacked | 125g
Coles Raspberries | 125g
Coles White Seedless Grapes Loose | approx 800g
Coles Lebanese Cucumbers | approx 210g
Coles Greenhouse Truss Tomatoes | approx 140g
Coles Blackberries | 170g
Coles Red Cherries Loose | approx 400g
Coles Grape Perino Tomatoes Prepacked | 200g
Coles Carrots Prepacked 1Kg | 1 each
Coles Broccoli | approx 340g
Coles Yellow Nectarines | approx 150g
Coles White Nectarines | approx 150g
Coles Honey Gold Mangoes Medium | 1 each
Fresh Brown Onions Loose | approx 180g
Coles Red Capsicum | approx 200g
Coles White Peaches | approx 150g
Coles Seedless Watermelon Cut | approx1.99 kg
Coles Yellow Peaches | approx 150g
Coles Red Onions Loose | approx 200g
Coles Medium Lemons | 1 each
Coles Iceberg Lettuce | 1 each
Coles Brown Onions | 1kg
Coles Continental Cucumbers Loose | 1 each
Coles Sweet Corn Prepacked | 4 pack
Coles Pink Lady Apples | approx 200g
Coles Green Zucchini | approx 260g
Coles Spring Onions | 1 bunch
Coles Sweet Corn | 1 each
Coles Baby Cucumbers | 250g
Fresh Medium Navel Oranges | approx 180g
Coles Carrots Loose | approx 170g
Coles Sweet Gold Potatoes Loose | approx 350g
Coles Kids Pack Bananas | 750g
Coles Lychees Loose | approx 20g
Coles Baby Broccoli | 1 each
Coles Creme Gold Washed Potatoes Loose | approx140g
Coles Fresh Loose Cup Mushrooms | approx 200g
Fresh Granny Smith Medium Apples | approx 170g
Coles Sleeved Herbs Coriander | 1 each
Coles Creme Royale Brushed Potatoes loose | approx 200g
Coles Field Tomatoes Loose | approx 110g
Coles Garlic loose | approx 60g
Coles Roma Tomatoes Loose | approx 100g
Coles Medium Calypso Mangoes | 1 each
Coles Baby Cos Lettuce | 2 pack
Tip Top The One White Sandwich Bread | 700g
Tip Top Thins Wholemeal Sandwich | 240g
Tip Top Original Thins Sandwich | 240g
Tip Top Sandwich Thins Lightly Seeded | 240g
Genius Gluten Free Farmhouse Soft Brown Bread Loaf | 535g
Genius Gluten Free Soft Brioche Rolls | 2 pack
Genius Gluten Free Crumpets | 4 pack
Genius Gluten Free Triple Seeded Soft Rolls | 2 pack
Burgen Wholemeal & Seeds Bread | 700g
Burgen Wholegrain & Oats Bread | 700g
Burgen Traditional Rye Bread | 700g
Golden Round Crumpets | 6 pack
Tip Top The One White Toast Bread | 700g
Coles Bakery Super Soft Round Rolls | 6 pack
Coles Bakery Croissants 3 Pack | 189g
Coles Bakery Rustic Rolls  | 4 pack
Coles Bakery Super Soft Hamburger Rolls | 6 pack
Helga's Traditional Wholemeal Bread | 750g
Peace Bakery Lebanese Bread White 6 pack | 500g
Wonder White Bread Wholemeal Plus Iron | 700g
Wonder White Bread + Vitamins & Mineral | 700g
Wonder White Bread + Vitamins Toast | 700g
Coles Hot Cross Buns Traditional Fruit | 6 pack
Helga's Mixed Grain Bread | 850g
Coles Bakery Croissants 4 Pack | 168g
Coles White Bread | 650g
Coles Mini Chocolate Chip Muffins | 9 Pack
Coles Hot Cross Buns Traditional Fruit | 6 pack
Tip Top Original English Muffins 6 Pack | 400g
Coles Bakery Stone Baked By Laurent Pane Di Casa | 1 each
Mr Kipling Angel Slice 6 pack | 165g
Coles Pain Au Chocolate | 220g
Golden Crumpet Square 6 pack | 425g
Mr Kipling Lemon Slices 6 Pack | 165g
Coles Turkish Rolls 4 pack | 400g
Mr Kipling Chocolate Slices 6 Pack | 155g
Coles Bakery Super Soft Hot Dog Rolls | 6 pack
Tip Top 9 Grain Original Bread | 700g
Tip Top The One Wholemeal Sandwich Bread | 700g
Tip Top Raisin Toast Bread | 520g
Coles Bakery Apple Fresh Cream Turnover | 1 each
Sauers Bread Turkish | 430g
Coles Soft White Sandwich | 700g
Coles Soft White Toast Loaf | 700g
Coles Bakery Flatbread White | 6 pack
Helga's Traditional White Bread | 750g
Coles Hot Cross Buns Fruit Free | 6 pack
Coles Bakery Tiger Rolls | 6 pack
Coles Soft Wholemeal Sandwich Loaf | 700g
Coles Wholemeal & Grain Soft Wraps 8 Pack | 360g
Coles Soft Multigrain Sandwich Loaf | 700g
Coles Bakery Vietnamese Rolls | 6 pack
Coles Finest By Laurent White Sourdough Rolls | 3 pack
Coles Bakery Stone Baked White Sourdough Vienna | 1 each
Peace Bakery Lebanese Bread Wholemeal 6 pack | 500g
Coles Hot Cross Buns Traditional Fruit Mini | 9 pack
Coles Soft White Wraps 8 pack | 360g
Coles Bakery Damper Inspired Rolls | 6 pack
Coles RSPCA Approved Whole Chicken Roast | 1 each
Hans Hot Twiggy Sticks | 500g
Hans Charcuterie Platter Sundried Tomato & Basil Salami Smoked Prosciutto Mild Twiggy Sticks | 250g
Hans Grazing Platter Hungarian Salami & Onion Relish 140g | 1 each
Hans Mild Twiggy Sticks | 500g
Hans Grazing Platter Danish Salami Cabanossi & Apricots | 1 each
Bertocchi Triple Smoked Leg Ham | approx 100g
Hans Milano Loin Ham | approx 100g
Coles Australian Made Ham On The Bone | approx 100g
Coles Silverside | approx 100g
Primo English Sliced Ham | 100g
Hans Devon | approx 100g
